id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
1,Bitcoin,BTC,bitcoin,11795,2010-07-13T00:00:00.000Z,21000000.0,19779337.0,19779337.0,False,,1,,,,2024-11-08T07:10:00.000Z,75821.59749112735,57907386541.23447,-31.1299,-0.17446428,1.24894774,9.68174596,21.72431015,38.4329357,25.25788103,1499700928655.3623,60.3364,1592253547313.67,,2024-11-08T07:10:00.000Z,,,,,
1839,BNB,BNB,bnb,2274,2017-07-25T00:00:00.000Z,,144099544.11628556,144099544.11628556,False,,5,,,,2024-11-08T07:10:00.000Z,597.6150665198903,1814825590.2545562,-14.0503,-0.11161219,0.27146977,4.20689208,2.46786313,18.26641982,17.00126115,86116058642.53987,3.4646,86116058642.54,,2024-11-08T07:10:00.000Z,,,,,
24478,Pepe,PEPE,pepe,464,2023-04-17T06:18:08.000Z,420690000000000.0,420689899999994.8,420689899999994.8,False,,24,,,,2024-11-08T07:09:00.000Z,1.0882944005705357e-05,1410007849.212056,-2.814,-0.39919579,6.76662998,22.10672684,12.22193276,54.61196829,29.19918025,4578344625.46573,0.1788,4578345713.76,,2024-11-08T07:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933
13502,Worldcoin,WLD,worldcoin-org,358,2021-10-28T15:31:43.000Z,,619949607.8916457,10000000000.0,False,,64,619898881.066993,1211927540.2318413,,2024-11-08T07:09:00.000Z,1.9550406965500997,203251291.081325,-38.977,-0.29330621,-0.30404996,4.49063624,5.93598103,40.04913134,12.76475065,1212026713.238444,0.0473,19550406965.5,,2024-11-08T07:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x163f8c2467924be0ae7b5347228cabf260318753
